"Instrument","InstrumentSub","Sector","Periode","waarde"
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2003-01",22284
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2003-02",22162
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2003-03",22877
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2003-04",22575
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2003-05",21868
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2003-06",22477
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2003-07",22798
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2003-08",22606
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2003-09",22656
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2003-10",22937
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2003-11",23037
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2003-12",23944
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2004-01",24073
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2004-02",24167
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2004-03",24760
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2004-04",25682
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2004-05",25269
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2004-06",25579
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2004-07",25703
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2004-08",26463
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2004-09",26840
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2004-10",26989
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2004-11",27535
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2004-12",27758
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2005-01",27637
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2005-02",27661
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2005-03",28115
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2005-04",28289
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2005-05",27815
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2005-06",28090
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2005-07",28032
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2005-08",28289
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2005-09",28077
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2005-10",28546
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2005-11",28491
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2005-12",29740
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2006-01",29441
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2006-02",29303
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2006-03",29226
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2006-04",29431
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2006-05",29015
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2006-06",28950
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2006-07",28960
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2006-08",29231
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2006-09",29445
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2006-10",29883
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2006-11",31160
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2006-12",30649
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2007-01",30625
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2007-02",30372
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2007-03",30313
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2007-04",30004
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2007-05",29495
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2007-06",29498
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2007-07",29911
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2007-08",30176
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2007-09",29670
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2007-10",29386
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2007-11",29187
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2007-12",30898
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2008-01",30086
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2008-02",30032
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2008-03",30292
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2008-04",30526
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2008-05",30010
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2008-06",30449
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2008-07",30550
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2008-08",30534
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2008-09",31276
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2008-10",31210
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2008-11",30973
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2008-12",31545
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2009-01",30660
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2009-02",30798
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2009-03",31255
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2009-04",31485
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2009-05",30526
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2009-06",30910
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2009-07",30720
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2009-08",30946
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2009-09",30825
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2009-10",30770
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2009-11",30920
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2009-12",31223
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2010-01",30690
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2010-02",30564
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2010-03",30990
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2010-04",30894
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2010-05",30522
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2010-06",29463
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2010-07",29755
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2010-08",30022
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2010-09",29933
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2010-10",29709
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2010-11",29687
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2010-12",29674
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2011-01",29583
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2011-02",29152
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2011-03",29082
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2011-04",29017
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2011-05",28595
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2011-06",28601
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2011-07",28657
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2011-08",28891
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2011-09",28907
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2011-10",28962
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2011-11",28634
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2011-12",28657
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2012-01",28338
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2012-02",28405
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2012-03",28096
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2012-04",28136
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2012-05",27594
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2012-06",27500
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2012-07",27764
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2012-08",27924
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2012-09",27845
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2012-10",27726
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2012-11",27339
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2012-12",27356
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2013-01",27008
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2013-02",26862
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2013-03",26757
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2013-04",26983
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2013-05",26330
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2013-06",26346
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2013-07",26914
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2013-08",27001
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2013-09",26940
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2013-10",26735
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2013-11",26965
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2013-12",26104
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2014-01",26213
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2014-02",26074
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2014-03",26039
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2014-04",25865
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2014-05",25364
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2014-06",25032
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2014-07",25048
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2014-08",24948
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2014-09",25045
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2014-10",24797
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2014-11",24418
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2014-12",24589
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2015-01",24381
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2015-02",23899
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2015-03",23946
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2015-04",23834
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2015-05",23291
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2015-06",23217
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2015-07",23040
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2015-08",23149
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2015-09",22837
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2015-10",22644
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2015-11",22332
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2015-12",22181
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2016-01",22083
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2016-02",21738
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2016-03",21479
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2016-04",21365
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2016-05",20876
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2016-06",20630
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2016-07",20519
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2016-08",20465
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2016-09",20227
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2016-10",20136
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2016-11",19867
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2016-12",19491
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2017-01",19350
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2017-02",19209
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2017-03",19065
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2017-04",19004
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2017-05",18521
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2017-06",18384
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2017-07",18573
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2017-08",18557
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2017-09",18423
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2017-10",18405
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2017-11",18175
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2017-12",17972
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2018-01",17748
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2018-02",17724
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2018-03",17600
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2018-04",17717
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2018-05",17303
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2018-06",17227
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2018-07",17214
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2018-08",17305
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2018-09",17070
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2018-10",17057
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2018-11",16891
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2018-12",16815
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2019-01",16571
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2019-02",16454
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2019-03",16306
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2019-04",16254
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2019-05",15848
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2019-06",15813
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2019-07",15921
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2019-08",15883
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2019-09",15857
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2019-10",15712
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2019-11",15614
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2019-12",15519
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2020-01",15272
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2020-02",15071
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2020-03",14614
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2020-04",14243
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2020-05",13810
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2020-06",13780
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2020-07",13617
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2020-08",13576
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2020-09",13386
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2020-10",13195
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2020-11",13123
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2020-12",12708
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2021-01",12499
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2021-02",12220
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2021-03",11009
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2021-04",10877
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2021-05",10741
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2021-06",10635
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2021-07",10654
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2021-08",10664
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2021-09",10691
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2021-10",10615
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2021-11",10408
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2021-12",10129
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2022-01",10065
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2022-02",10019
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2022-03",10290
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2022-04",10358
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2022-05",10052
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2022-06",10092
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2022-07",10094
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2022-08",9884
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2022-09",9769
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2022-10",9765
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2022-11",9614
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2022-12",9565
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2023-01",9519
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2023-02",9404
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2023-03",9324
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2023-04",9341
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2023-05",9221
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2023-06",9096
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2023-07",9141
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2023-08",9093
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2023-09",9020
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2023-10",8653
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2023-11",8639
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2023-12",8448
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2024-01",8448
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2024-02",8309
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2024-03",8242
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2024-04",8190
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2024-05",7942
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2024-06",7973
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2024-07",8040
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2024-08",7967
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2024-09",7946
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2024-10",7856
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2024-11",7861
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2024-12",7780
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","1998-12",110022
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","1999-01",113471
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","1999-02",114064
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","1999-03",113840
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","1999-04",114419
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","1999-05",116128
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","1999-06",117563
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","1999-07",118903
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","1999-08",119223
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","1999-09",119207
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","1999-10",118233
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","1999-11",118180
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","1999-12",117848
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","2000-01",119969
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","2000-02",119869
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","2000-03",119228
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","2000-04",118857
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","2000-05",120101
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","2000-06",120399
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","2000-07",118904
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","2000-08",117878
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","2000-09",116757
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","2000-10",115483
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","2000-11",113630
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","2000-12",112109
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","2001-01",116002
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","2001-02",116457
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","2001-03",117469
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","2001-04",118323
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","2001-05",119278
"Rekening courante tegoeden en spaargeld ","Deposito's met opzegtermijn (mln euro's) ","Huishoudens ","2001-06",121352
